day_of_week,day_num,hour_of_day,skip_rate,n
Wednesday,3,19,0.5218352681039248,1809
Wednesday,3,20,0.44352617079889806,726
Wednesday,3,21,0.40558510638297873,752
Wednesday,3,22,0.32300163132137033,613
Wednesday,3,23,0.4276401564537158,767
Thursday,4,0,0.47737909516380655,641
Thursday,4,1,0.45103857566765576,337
Thursday,4,2,0.33519553072625696,179
Thursday,4,3,0.3564356435643564,101
Thursday,4,4,0.4492753623188406,69
Thursday,4,5,0.38636363636363635,88
Thursday,4,6,0.37094281298299847,647
Thursday,4,7,0.4648750589344649,2121
Thursday,4,8,0.421604614577871,1907
Thursday,4,9,0.31979368149580917,1551
Thursday,4,10,0.3608355091383812,1915
Thursday,4,11,0.3756578947368421,1520
Thursday,4,12,0.39606592238171184,1881
Thursday,4,13,0.40615570307785154,1657
Thursday,4,14,0.3736910994764398,1528
Thursday,4,15,0.4181184668989547,1435
Thursday,4,16,0.46994535519125685,1830
Thursday,4,17,0.45987825124515774,1807
Thursday,4,18,0.41458333333333336,1440
Thursday,4,19,0.39014202172096907,1197
Thursday,4,20,0.367816091954023,870
Thursday,4,21,0.39097744360902253,532
Thursday,4,22,0.6132167152575316,1029
Thursday,4,23,0.469061876247505,1002
Friday,5,0,0.5277777777777778,864
Friday,5,1,0.3972602739726027,365
Friday,5,2,0.3821656050955414,314
Friday,5,3,0.4107744107744108,297
Friday,5,4,0.34441087613293053,331
Friday,5,5,0.3853211009174312,218
Friday,5,6,0.35181644359464626,523
Friday,5,7,0.4451219512195122,1804
Friday,5,8,0.4612384202827889,2051
Friday,5,9,0.41492146596858637,1528
Friday,5,10,0.3569636135508156,1594
Friday,5,11,0.3730979914790018,1643
Friday,5,12,0.3907608695652174,1840
Friday,5,13,0.43953116675546083,1877
Friday,5,14,0.38727272727272727,1650
Friday,5,15,0.33136593591905567,1186
Friday,5,16,0.5097613882863341,1844
Friday,5,17,0.543592186755598,2099
Friday,5,18,0.5067536096879367,2147
Friday,5,19,0.4015151515151515,924
Friday,5,20,0.28421052631578947,380
Friday,5,21,0.44846796657381616,359
Friday,5,22,0.43521594684385384,301
Friday,5,23,0.471169686985173,607
Saturday,6,0,0.471875,640
Saturday,6,1,0.4552238805970149,536
Saturday,6,2,0.44047619047619047,336
Saturday,6,3,0.3888888888888889,270
Saturday,6,4,0.3543046357615894,302
Saturday,6,5,0.3700787401574803,254
Saturday,6,6,0.4217585692995529,671
Saturday,6,7,0.3581445523193096,927
Saturday,6,8,0.35108958837772397,826
Saturday,6,9,0.4042316258351893,898
Saturday,6,10,0.4144486692015209,1315
Saturday,6,11,0.3719590268886043,1562
Saturday,6,12,0.3698630136986301,1752
Saturday,6,13,0.48055555555555557,1800
Saturday,6,14,0.42565597667638483,1029
Saturday,6,15,0.44280442804428044,1084
Saturday,6,16,0.4087089381207028,1309
Saturday,6,17,0.4416452442159383,1945
Saturday,6,18,0.45044052863436124,1816
Saturday,6,19,0.4521575984990619,1066
Saturday,6,20,0.4441747572815534,412
Saturday,6,21,0.37333333333333335,300
Saturday,6,22,0.5355555555555556,450
Saturday,6,23,0.4577836411609499,758
