session_id,session_length,session_position,is_skip_int
4925,195,24,0
4925,195,30,1
4925,195,32,1
4925,195,44,1
4925,195,76,1
4925,195,77,0
4925,195,91,1
4925,195,123,1
4925,195,141,1
4925,195,155,1
4925,195,161,0
4925,195,166,1
4925,195,170,0
4925,195,183,0
4926,11,7,1
4927,12,4,0
4928,40,8,1
4928,40,10,0
4928,40,20,1
4929,52,19,0
4929,52,38,0
4929,52,40,0
4929,52,48,0
4930,13,5,1
4930,13,6,1
4931,37,0,0
4931,37,11,1
4931,37,15,0
4931,37,19,1
4931,37,24,1
4931,37,26,1
4932,334,27,1
4932,334,33,1
4932,334,62,0
4932,334,82,1
4932,334,93,0
4932,334,94,1
4932,334,103,1
4932,334,106,1
4932,334,138,0
4932,334,165,1
4932,334,189,0
4932,334,198,1
4932,334,214,1
4932,334,217,0
4932,334,225,0
4932,334,234,0
4932,334,267,1
4932,334,300,0
4932,334,306,0
4932,334,316,0
4934,14,12,1
4935,50,35,1
4935,50,46,1
4936,45,5,1
4936,45,28,1
4938,19,4,0
4938,19,6,1
4940,20,5,0
4940,20,18,0
4941,41,20,0
4941,41,34,1
4941,41,38,0
4941,41,40,0
4942,5,3,0
4943,160,7,0
4943,160,12,1
4943,160,50,1
4943,160,54,1
4943,160,68,0
4943,160,76,1
4943,160,104,0
4943,160,116,0
4943,160,122,1
4944,47,23,1
4944,47,39,1
4945,35,7,1
4945,35,8,0
4945,35,14,1
4945,35,16,1
4945,35,23,0
4945,35,30,1
4947,35,0,0
4947,35,16,0
4948,13,8,1
4950,16,10,0
4951,26,4,0
4951,26,14,0
4952,31,23,1
4953,27,16,0
4954,25,0,0
4954,25,12,0
4956,2,0,0
4958,35,18,1
4958,35,28,0
4959,24,3,0
4959,24,18,1
4961,16,3,0
4963,12,1,0
4965,100,8,1
4965,100,13,0
4965,100,35,0
4965,100,45,1
4965,100,46,0
4965,100,73,0
4967,125,6,0
4967,125,14,0
4967,125,21,1
4967,125,45,1
4967,125,46,1
4967,125,53,0
4969,87,36,0
4969,87,50,1
4972,21,1,1
4972,21,12,1
4974,51,10,1
4975,8,2,1
4976,11,5,0
4976,11,6,0
4976,11,8,0
4977,41,22,1
4978,48,39,1
4978,48,43,0
4980,29,4,1
4980,29,8,1
4980,29,18,1
4982,32,0,0
4982,32,13,1
4985,58,2,1
4985,58,15,1
4985,58,23,0
4985,58,35,0
4985,58,39,1
4986,1,0,0
4987,27,6,1
4987,27,25,1
4990,15,13,0
4991,91,9,1
4991,91,13,1
4991,91,16,0
4991,91,57,0
4991,91,90,0
4993,77,24,1
4993,77,61,0
4994,79,7,1
4994,79,11,1
4994,79,13,0
4994,79,33,1
4994,79,54,1
4994,79,67,1
4994,79,78,0
4995,37,5,0
4995,37,10,1
4995,37,11,0
4995,37,26,0
4996,6,1,0
4997,7,1,0
4998,172,15,1
4998,172,31,1
4998,172,42,1
4998,172,44,1
4998,172,53,0
4998,172,61,1
4998,172,68,0
4998,172,78,1
4998,172,85,1
4998,172,117,1
4998,172,160,1
4999,32,13,0
4999,32,31,0
5001,145,51,1
5001,145,88,1
5001,145,99,0
5001,145,121,1
5002,91,3,0
5002,91,27,0
5002,91,36,0
5002,91,39,0
5002,91,44,0
5002,91,45,0
5002,91,50,0
5002,91,81,1
5003,47,34,1
5004,76,0,1
5004,76,59,0
5005,21,7,1
5007,23,4,0
5007,23,10,1
5008,138,6,1
5008,138,7,0
5008,138,13,1
5008,138,19,1
5008,138,35,1
5008,138,67,0
5008,138,81,1
5008,138,85,1
5008,138,110,1
5008,138,119,1
5009,108,3,0
5009,108,8,0
5009,108,17,1
5009,108,39,1
5010,113,4,1
5010,113,12,0
5010,113,18,1
5010,113,39,1
5010,113,43,0
5010,113,49,1
5010,113,57,1
5010,113,67,0
5010,113,104,1
5010,113,105,1
5010,113,110,0
5010,113,111,0
5011,78,28,0
5011,78,44,1
5011,78,50,1
5011,78,54,1
5011,78,68,1
5012,19,4,1
5012,19,12,0
5012,19,13,0
5013,3,1,0
5014,34,16,0
5015,34,28,0
5016,34,5,1
5016,34,9,0
5017,104,2,0
5017,104,50,1
5017,104,70,1
5017,104,71,0
5017,104,95,1
5019,45,37,1
5019,45,39,1
5022,65,16,1
5022,65,21,1
5022,65,28,1
5022,65,52,1
5023,27,0,0
5023,27,14,1
5024,13,0,0
5024,13,3,1
5024,13,8,1
5027,52,40,1
5028,12,1,0
5028,12,9,0
5029,65,34,1
5029,65,42,0
5029,65,46,1
5033,74,31,0
5035,15,10,0
5035,15,11,0
5037,66,3,1
5037,66,18,1
5037,66,50,1
5037,66,58,0
5037,66,63,0
5038,49,1,1
5038,49,12,0
5038,49,13,0
5038,49,39,1
5039,17,0,0
5039,17,14,0
5039,17,15,0
5040,45,6,0
5040,45,16,1
5040,45,28,0
5041,192,19,1
5041,192,34,1
5041,192,46,0
5041,192,52,1
5041,192,60,1
5041,192,71,1
5041,192,77,1
5041,192,98,1
5041,192,108,1
5041,192,135,1
5041,192,144,1
5041,192,157,1
5041,192,173,1
5043,59,0,0
5043,59,2,1
5043,59,4,0
5043,59,17,1
5043,59,18,1
5043,59,29,1
5043,59,46,1
5043,59,54,1
5044,132,46,1
5044,132,48,1
5044,132,54,1
5044,132,72,1
5044,132,80,1
5044,132,97,1
5044,132,121,1
5044,132,131,0
5046,70,29,1
5046,70,39,1
5046,70,50,1
5046,70,67,1
5047,67,12,1
5047,67,19,0
5047,67,37,0
5048,14,0,0
5048,14,3,1
5048,14,10,1
5049,98,11,1
5049,98,25,1
5049,98,42,1
5049,98,49,1
5049,98,56,1
